Target	Source	weight	Type
K01_HL103165_138	275	0.3614583333333333	Undirected
K01_HL103165_138	333	0.22256944444444443	Undirected
K01_HL103165_138	399	0.11145833333333334	Undirected
R01_AI104459_139	34	0.20732758620689656	Undirected
R01_AI104459_139	102	0.20732758620689656	Undirected
R01_AI104459_139	380	0.3107758620689655	Undirected
R01_ES009411_140	59	0.10542763157894736	Undirected
R01_ES009411_140	151	0.18437499999999998	Undirected
R01_ES009411_140	173	0.2106907894736842	Undirected
R01_ES009411_140	181	0.2633223684210526	Undirected
DP1_ES025458_141	87	0.11437499999999999	Undirected
DP1_ES025458_141	329	0.1358035714285714	Undirected
DP1_ES025458_141	358	0.3500892857142857	Undirected
P01AT039641_142	296	0.3378246753246753	Undirected
P01AT039641_142	352	0.3118506493506493	Undirected
K12_ES015855_143	54	0.1547680412371134	Undirected
K12_ES015855_143	198	0.14445876288659792	Undirected
K12_ES015855_143	292	0.40219072164948455	Undirected
P60_MD002249_144	47	0.10113636363636364	Undirected
P60_MD002249_144	141	0.4950757575757576	Undirected
P60_MD002249_144	200	0.11123737373737373	Undirected
P20_GM103527_145	155	0.7339717741935484	Undirected
ES012259_146	160	0.1753125	Undirected
ES012259_146	180	0.22531249999999997	Undirected
ES012259_146	214	0.2503125	Undirected
R01ES021735_147	24	0.15583333333333332	Undirected
R01ES021735_147	193	0.13361111111111112	Undirected
R01ES021735_147	363	0.13361111111111112	Undirected
R01ES021735_147	390	0.2891666666666666	Undirected
R01_ES017017_148	46	0.1210164835164835	Undirected
P30_ES000210_149	243	0.11612318840579709	Undirected
P30_ES000210_149	275	0.4929347826086957	Undirected
P30_ES000210_149	370	0.1306159420289855	Undirected
P30_ES001247_150	112	0.2501077586206896	Undirected
P30_ES001247_150	259	0.12079741379310344	Undirected
P30_ES001247_150	333	0.319073275862069	Undirected
P41_EB015897_151	187	0.11408227848101266	Undirected
P41_EB015897_151	313	0.15205696202531643	Undirected
P41_EB015897_151	353	0.177373417721519	Undirected
P41_EB015897_151	357	0.22800632911392404	Undirected
R01_ES020897_152	117	0.19102272727272726	Undirected
R01_ES020897_152	212	0.17284090909090907	Undirected
R01_ES020897_152	215	0.10011363636363636	Undirected
R01_ES020897_152	354	0.16375	Undirected
R01_ES020897_152	368	0.11829545454545454	Undirected
P30-ES01247_153	41	0.2593364197530864	Undirected
P30-ES01247_153	70	0.28402777777777777	Undirected
P30-ES01247_153	287	0.19143518518518518	Undirected
P30-ES01247_153	390	0.10501543209876543	Undirected
K01_ES025434_154	119	0.17527372262773722	Undirected
K01_ES025434_154	140	0.23366788321167886	Undirected
K01_ES025434_154	196	0.11687956204379561	Undirected
K01_ES025434_154	292	0.16797445255474452	Undirected
R01_AI083927_155	57	0.24484265734265737	Undirected
R01_AI083927_155	242	0.23784965034965036	Undirected
R01_AI083927_155	261	0.11197552447552447	Undirected
R01_AI083927_155	288	0.27281468531468533	Undirected
R01_ES016893_156	32	0.5778703703703704	Undirected
R01_ES016893_157	46	0.2795955882352941	Undirected
R01_ES016893_157	168	0.3090073529411765	Undirected
R01_ES016893_157	399	0.1472426470588235	Undirected
K01_AT006162_158	83	0.14675	Undirected
K01_AT006162_158	382	0.22008333333333335	Undirected
K01_AT006162_158	399	0.10008333333333333	Undirected
DK090313_159	0	0.3257267441860465	Undirected
DK090313_159	126	0.20944767441860465	Undirected
DK090313_159	251	0.1629360465116279	Undirected
DK090313_159	352	0.1513081395348837	Undirected
R03ES021643_160	7	0.10124999999999999	Undirected
R03ES021643_160	108	0.20125	Undirected
R03ES021643_160	148	0.10124999999999999	Undirected
R03ES021643_160	149	0.10124999999999999	Undirected
P30_ES020957_161	14	0.11249999999999999	Undirected
P30_ES020957_161	198	0.22361111111111112	Undirected
P30_ES020957_161	399	0.11249999999999999	Undirected
3_T32_ES_11564-10_S1_162	274	0.7251041666666667	Undirected
R01_ES024992_163	47	0.314375	Undirected
R01_ES024992_163	70	0.1358035714285714	Undirected
R01_ES024992_163	215	0.164375	Undirected
R01_ES024992_163	260	0.10008928571428571	Undirected
R01_ES014240_164	63	0.2411830357142857	Undirected
R01_ES014240_164	92	0.23225446428571428	Undirected
R01_ES014240_164	133	0.19654017857142855	Undirected
P30_ES013508_165	36	0.44379139072847684	Undirected
P30_ES013508_165	214	0.11928807947019868	Undirected
K99_ES023477_166	31	0.3105603448275862	Undirected
K99_ES023477_166	178	0.20711206896551723	Undirected
K99_ES023477_166	270	0.13814655172413792	Undirected
K99_ES023477_166	272	0.17262931034482756	Undirected
5P20ES018169-02_167	70	0.30984513274336284	Undirected
5P20ES018169-02_167	143	0.14170353982300884	Undirected
5P20ES018169-02_167	222	0.1859513274336283	Undirected
5P20ES018169-02_167	240	0.12400442477876106	Undirected
R01_ES003154_168	164	0.20544871794871794	Undirected
R01_ES003154_168	277	0.12852564102564104	Undirected
R01_ES003154_168	311	0.46185897435897433	Undirected
P30_ES005022_169	102	0.2289285714285714	Undirected
P30_ES005022_169	146	0.11464285714285714	Undirected
P30_ES005022_169	283	0.11464285714285714	Undirected
P30_ES005022_169	312	0.1432142857142857	Undirected
P30_ES007033_170	229	0.2751041666666667	Undirected
P30_ES007033_170	326	0.10010416666666666	Undirected
P30_ES007033_170	350	0.15843749999999998	Undirected
P30_ES007033_170	395	0.10010416666666666	Undirected
P01_HD029587_171	279	0.40797697368421054	Undirected
P01_HD029587_171	350	0.15139802631578947	Undirected
R01_ES003299_172	16	0.1486111111111111	Undirected
R01_ES003299_172	159	0.1486111111111111	Undirected
R01_ES003299_172	363	0.3708333333333333	Undirected
R01_CA118114_173	58	0.10592105263157896	Undirected
R01_CA118114_173	129	0.2111842105263158	Undirected
R01_CA118114_173	193	0.1585526315789474	Undirected
R01_CA118114_173	280	0.2111842105263158	Undirected
P01_ES011261_174	9	0.41185661764705883	Undirected
P01_ES011261_174	20	0.11773897058823529	Undirected
P01_ES011261_174	106	0.17656249999999998	Undirected
5U19AI067773-09_175	42	0.2844362745098039	Undirected
5U19AI067773-09_175	108	0.4314950980392157	Undirected
5U19AI067773-09_175	198	0.1079656862745098	Undirected
R00DE022101-02_176	224	0.10958029197080292	Undirected
R00DE022101-02_176	239	0.25556569343065694	Undirected
R00DE022101-02_176	353	0.10958029197080292	Undirected
R00DE022101-02_176	362	0.10228102189781021	Undirected
R00DE022101-02_176	371	0.10958029197080292	Undirected
K99_ES024144_177	211	0.10196759259259258	Undirected
K99_ES024144_177	240	0.26863425925925927	Undirected
K99_ES024144_177	296	0.2315972222222222	Undirected
P42_ES010356_178	90	0.12170608108108108	Undirected
P42_ES010356_178	99	0.17576013513513514	Undirected
P42_ES010356_178	296	0.12846283783783782	Undirected
P42_ES010356_178	379	0.1487331081081081	Undirected
P42_ES010356_178	381	0.12846283783783782	Undirected
R00_ES016817_179	124	0.18330152671755726	Undirected
R00_ES016817_179	303	0.3970419847328244	Undirected
U54_ES015678_180	106	0.19519817073170734	Undirected
U54_ES015678_180	221	0.21958841463414636	Undirected
U54_ES015678_180	264	0.25007621951219516	Undirected
